Building name,MaxCPS,Multiplier,Worker1,Worker2,Worker3,Worker4,Worker5,Worker6,Capacity
Fashion Studio,30,x3,Model,Swimsuit Model,Tailor,Manicurist,Makeup Artist,,5
Fast Food,30,x3,Cook,Janitor,Plumber,Pizza Guy,Butcher,,5
Field Hospital,10,x1,ER Doctor,Trauma Surgeon,Field Engineer,Ambulance Driver,EMT Technician,,5
Film Festival,12,x1,Auteur,A-List Actor,Thespian,Film Producer,Ingenue,Paparazzi,6
Film Studio,8,x1,Director,Actor,Stunt Double,Security Guard,,,4
Fire Station,6,x1,Firefighter,Paramedic,Deputy,,,,3
Fireworks Factory,12,x2,Pyrotechnician,Firefighter,Chemist,,,,3
Flower Shop,12,x2,Florist,Treehugger,Chocolatier,,,,3
Forensic Lab,10,x1,CSI,Forensic Scientist,Detective,Federal Agent,Coroner,,5
Fortune Teller,8,x2,Oracle,Genie,,,,,2
Funeral Parlor,12,x2,Coroner,Gravedigger,Landscaper,,,,3
Gaming House,12,x1,Pro-Gamer,Gameshow Host,Streamer,Sports Caster,Influencer,Hacker,6
Gas Station,24,x2,Tattoo Artist,Biker,Gas Filler,Car Washer,Hair Stylist,Cashier,6
Gene Pool,24,x4,Geneticist,Scientist,Doctor,,,,3
Gogigui BBQ,16,x4,Mukbang Streamer,Barbecuer,,,,,2
Golf Club,24,x3,Golfer,Caddie,Industrialist,CEO,,,4
Greenhouse,12,x2,Botanist,Gardener,Farmer,,,,3
Guild Hall,10,x1,Cleric,Monk,Dragon Tamer,Necromancer,Rogue,,5
Gym,40,x4,Gym Instructor,Gymnast,Bodybuilder,Cyclist,Boxer,,5
Haunted House,12,x2,Jack-O-Lantern,Skeleton,Ghost,,,,3
Hedge Fund,18,x3,Investor,Investment Banker,Gardener,,,,3
Hero Mansion,36,x3,Super Hero,Atomic Hero,Anti Hero,Ancient Hero,Secret Agent,Butler,6
Hospital,24,x2,Radiologist,Nurse,Doctor,Cosmetic Surgeon,Insurance Agent,Cardiologist,6
Hotel Utopia,12,x2,Receptionist,Hotel Manager,Valet,,,,3
Ice Cream Stand,18,x3,Ice Cream Seller,Chocolatier,Milkmonger,,,,3
Idol Academy,12,x1,Executive Producer,Megastar,Pop Icon,Synthpop Artist,Talent Show Judge,Mogul,6
Inn,4,x1,Bard,Barbarian,,,,,2
Island,16,x2,Castaway,Cliff Diver,Treasure Hunter,Tribal,,,4
Ivory Tower,8,x1,Hair Model,Base Jumper,Knight,Adventurer,,,4
Jazz Bar,32,x4,Crooner,Improv Drummer,Blues Guitarist,Double Bassist,,,4
K.R.A.K.E.N Center,20,x2,Xenolinguist,Xenobiologist,Crisis Manager,Relief Coordinator,Kaiju Whisperer,,5
Laboratory,12,x2,Monster,Mad Scientist,Henchman,,,,3
Lakehouse,6,x1,Fishmonger,Captain,First Mate,,,,3
Law Firm,24,x4,Lawyer,Assistant,Detective,,,,3
Library,6,x1,Librarian,Editor,Poet,,,,3
Lighthouse,12,x2,Lighthouse Keeper,Cartographer,Mermaid,,,,3
Lumber Mill,24,x4,Lumberjack,Carpenter,Outlaw,,,,3
Marina,12,x2,Boat Racer,Sailing Instructor,Captain,,,,3
Mountain,6,x1,Snow Elemental,Alpine Rescue,Sherpa,,,,3
Museum,12,x2,Archaeologist,Paleontologist,Historian,,,,3
News Agency,6,x1,Reporter,Weather Reporter,Food Critic,,,,3
Ninja HQ,8,x1,Ninja,Secret Agent,Greengrocer,Rogue,,,4
Nursery,6,x1,Landscaper,Gardener,Florist,,,,3
Observatory,12,x2,Astronomer,Geologist,Aerospace Engineer,,,,3
Oil Rig,18,x3,Oil Driller,Welder,Oil Baron,,,,3
Organic Cafe,6,x1,Organic Farmer,Juicer,Barista,,,,3
Outdoor Stage,24,x2,Punk Rocker,Mariachi,Rockstar,Metalhead,Bagpiper,Juggler,6
Palace,10,x1,Emperor,Vizier,Courtier,Tour Guide,Tourist,,5
Park,18,x3,Zookeeper,Taxidermist,Park Ranger,,,,3
Park Luxury Villa,6,x1,Mogul,Heir,Crony,,,,3
Patisserie Ufeuille,32,x4,Patissier,Confiseur,Decorateur,Glacier,,,4
Pet Store,12,x2,Cashier,Vet,Animal Trainer,,,,3
Pharmacy,32,x4,Pharmacist,Nurse,Accountant,Cashier,,,4
Photo Shop,18,x3,Photographer,Model,Cameraman,,,,3
Pirate Ship,16,x2,Swashbuckler,Piper,Submariner,Adventurer,,,4
Police Station,24,x4,Detective,Police Officer,Deputy,,,,3
Port Authority,6,x1,Civil Servant,Merchant,Sailor,,,,3
Post Office,18,x3,Mailman,Postmaster General,Courier,,,,3
Production Suite,16,x2,Voiceover Artist,Foley Artist,CGI Artist,Gofer,,,4
Publishing House,8,x1,Editor,Writer,Lawyer,Playwright,,,4
Pyramid,4,x1,Mummy,Archaeologist,,,,,2
Radio Station,6,x1,Disc Jockey,Songwriter,Vocalist,,,,3
Railroad Station,4,x1,Engine Driver,Train Conductor,,,,,2
Recreation Center,24,x2,Basketballer,Tennis Player,Soccer Star,Mascot,Cyclist,Skateboarder,6
Research Lab,6,x1,Zoologist,Scientist,Cryptozoologist,,,,3
Restaurant,10,x1,Chef,Waiter,Songwriter,Sommelier,Celebrity Chef,,5
School of Magic,18,x3,Wizard,Apprentice,Magician,,,,3
Secret Hideout,8,x2,Monster Hunter,Lawn Gnome,,,,,2
Sheriff's Office,12,x2,Sheriff,Deputy,Mounted Police,,,,3
Ski Lodge,4,x1,Snowboarder,Skier,,,,,2
Snow Globe,60,x5,Figure Skater,Mountain Climber,Skier,Ice Fisher,Ice Cream Seller,Hockey Player,6
Souvenir Store,10,x1,Blacksmith,Freedom Fighter,Perfume Maker,Balloon Twister,Online Shopper,,5
Spa,20,x2,Physiotherapist,Hotel Manager,Masseuse,Gym Instructor,Yoga Instructor,,5
Space Admin,24,x2,Astronaut,Aerospace Engineer,Astronomer,Star Commander,Hazmat,Welder,6
Space Port,8,x1,Pilot,Flight Attendant,Flight Controller,Security Guard,,,4
Stable,10,x1,Jockey,Cattle Rustler,Shepherd,Mounted Police,Bandit,,5
Stadium,24,x2,Athlete,Cheerleader,Coach,Footballer,Referee,Cattle Rustler,6
Sushi Bar,6,x1,Sushi Chef,Samurai,Celebrity Chef,,,,3
Swimming Pool,24,x3,Lifeguard,Olympic Swimmer,Swimsuit Model,Sailing Instructor,,,4
Talent Agency,24,x2,Talent Manager,Fashion Designer,Makeover Artist,Publicist,Stylist,Undiscovered Talent,6
Tavern,36,x3,Bartender,Buccaneer,Time Traveller,Deep Sea Diver,Genie,Cryptozoologist,6
Tech Park,18,x3,Entrepreneur,Gamer,Investor,,,,3
Tech Support,6,x1,Programmer,System Admin,Mathematician,,,,3
Telephone Company,12,x2,Electrician,Telephone Operator,Security Guard,,,,3
Theatre,24,x2,Actor,Director,Valet,Ventriloquist,Thespian,Propsmaster,6
Thrift Store,8,x1,Frisbee Player,Dog Walker,Graffiti Artist,Indie Musician,,,4
Town Hall,6,x1,Mayor,Assistant,Architect,,,,3
Toy Factory,6,x1,Toy Maker,Elf,Toy Soldier,,,,3
Travel Agency,12,x2,Travel Agent,Tour Guide,Tourist,,,,3
TV Station,6,x1,Reporter,Cameraman,Writer,,,,3
Ubocho Books,24,x4,Book Collector,Novelist,Publisher,,,,3
University,20,x2,Mathematician,Philosopher,Physicist,Professor,Entomologist,,5
Utobara Denki-Gai,48,x6,Comic Geek,Gadget Refurbisher,Computer Wiz,Cosplay Costumier,,,4
Utopia HQ,18,x3,Politician,Civil Servant,Officer,,,,3
Utopium Mine,12,x2,Engineer,Miner,Geologist,,,,3
Utoryuji Temple,6,x1,Priest,Shrine Attendant,Zen Gardener,,,,3
Utoshimaya D.S.,24,x4,Store Greeter,Store Manager,Clerk,,,,3
Utoji Castle,6,x1,Imperial Guard,Shogun,Gatekeeper,,,,3
UTO-NURV Fortress,12,x1,Dispatcher,Magical Student,Kid Robot,Bike Rider,Metamorph,Space Ranger,6
UTO-NURV Hangar,10,x1,Tech Magnate,Mecha Pilot,Mecha Mechanic,Robo Caller,Keyboard Warrior,,5
Warrior Temple,10,x1,Gladiator,Hermit,Sculptor,Sun Priest,Warrior,,5
Wedding Chapel,4,x2,Newlywed,,,,,,1
Weddings R Us,10,x1,Wedding Planner,Photographer,Tailor,Wedding Singer,Jeweller,,5
Winter Fort,6,x1,Ice Lord,Viking,Guardian,,,,3
Wooded Cabin,12,x1,Jungle Dweller,Big Bad Wolf,Hooded Rider,Dwarf,Shoe Maker,Forester,6
